Earthquake	336.7128	333.0784	264.4352	526.0912	526.8144
Turbulent\nFlow	787.2792	1189.592	1019.5672	1786.5216	1836.7984
Antenna	922.248	958.9912	946.396	1580.1632	1640.9888
"Land Mine"	125.668	161.9528	142.556	231.2448	242.4256
Turbine	599.3288	756.5144	754.4	1436.064	1439.7856
Plasma	786.996	1113.2384	1051.572	1907.7584	1976.6528
